metric,joint_0,joint_1,joint_2,joint_3,joint_4,x,y,z,x_,y_,z_
-0.054558718034972455,-0.9372644175513737,-0.8342082112678555,-1.3470446369379898,1.1360191157162467,0.8398172557329479,0.025450809707339095,-0.189851713458785,0.09358146007583902,0.025451155813118742,-0.18985134287705552,0.09358187107550897
-0.05455871785902802,-0.9372644348046631,-0.8342082085220425,-1.3470446417861839,1.1360190990293872,0.8398172436625032,0.0254508094062642,-0.1898517145226702,0.09358145546841597,0.025451155813118742,-0.18985134287705552,0.09358187107550897
-0.05455871773938688,-0.937264446536928,-0.8342082066548997,-1.3470446450829598,1.136019087682323,0.8398172354546166,0.02545080920153442,-0.18985171524611255,0.09358145233536268,0.025451155813118742,-0.18985134287705552,0.09358187107550897
-0.05455873221266349,-0.937264543814835,-0.8342083378949603,-1.3470446371996672,1.1360193713965225,0.8398174758464821,0.025450819775926725,-0.18985170637686896,0.0935814508355525,0.025451155813118742,-0.18985134287705552,0.09358187107550897
-0.05455874205449662,-0.9372646099639015,-0.8342084271382809,-1.3470446318390294,1.1360195643221735,0.8398176393129602,0.025450826966525033,-0.1898517003457822,0.09358144981566228,0.025451155813118742,-0.18985134287705552,0.09358187107550897
-0.05455874205449662,-0.9372646760222852,-0.834208490043197,-1.3470446327795658,1.1360196894982468,0.8398177475398898,0.025450826966525033,-0.1898517003457822,0.09358144981566228,0.025451155813118742,-0.18985134287705552,0.09358187107550897
-0.054558753927324635,-0.9372647209420224,-0.83420853281854,-1.3470446334191362,1.1360197746179694,0.8398178211342027,0.025450835348129763,-0.1898516946882995,0.09358144075965416,0.025451155813118742,-0.18985134287705552,0.09358187107550897
-0.054558751568499514,-0.9372647401218668,-0.8342085092026057,-1.3470446437467023,1.1360197031571075,0.8398177646813918,0.025450833295576028,-0.18985169795219758,0.09358143221048884,0.025451155813118742,-0.18985134287705552,0.09358187107550897
-0.054558749964498526,-0.9372647531641779,-0.8342084931437409,-1.3470446507694587,1.136019654563715,0.8398177262934802,0.02545083189983577,-0.18985170017164898,0.09358142639705237,0.025451155813118742,-0.18985134287705552,0.09358187107550897
-0.05455874449661146,-0.9372647538789571,-0.834208441188672,-1.3470446634158986,1.1360195204189256,0.839817616981419,0.025450827553145976,-0.18985170546669575,0.09358141756037268,0.025451155813118742,-0.18985134287705552,0.09358187107550897
-0.05455874077844859,-0.9372647543650205,-0.8342084058592016,-1.3470446720154858,1.1360194292004637,0.8398175426492166,0.02545082459739438,-0.18985170906732768,0.09358141155142696,0.025451155813118742,-0.18985134287705552,0.09358187107550897
-0.05455873610430925,-0.9372647529054232,-0.834208361584336,-1.3470446822897655,1.1360193160300966,0.8398174502086292,0.02545082090135416,-0.18985171348598834,0.093581404517799,0.025451155813118742,-0.18985134287705552,0.09358187107550897
-0.05455873292589495,-0.9372647519129096,-0.8342083314774198,-1.3470446892762817,1.1360192390742443,0.839817387349029,0.025450818388046,-0.18985171649067756,0.09358139973492884,0.025451155813118742,-0.18985134287705552,0.09358187107550897
-0.05145215660100488,-0.8819395400930831,-0.8520144335489864,-1.4019654410756666,1.0324028033209314,0.7368960026471582,0.025274272918308513,-0.18946796657886555,0.09333416875364706,0.025451155813118742,-0.18985134287705552,0.09358187107550897
-0.04965848591935614,-0.8443086685525965,-0.8641340445328778,-1.4393369926147663,0.9619002109017636,0.6667595841494354,0.024929410324764097,-0.18875812415804163,0.09289297931049187,0.025451155813118742,-0.18985134287705552,0.09358187107550897
-0.04858692228501193,-0.8187167057353537,-0.8723781889863407,-1.4647559110931097,0.9139469514927769,0.6190212937379618,0.024581924223772936,-0.18806082692469786,0.09247904812075033,0.025451155813118742,-0.18985134287705552,0.09358187107550897
-0.047926942364506835,-0.8013132149684353,-0.8779845923587493,-1.48204181974305,0.8813360034836624,0.5865481169594459,0.02429139881552787,-0.18748557198384397,0.09214922158231059,0.025451155813118742,-0.18985134287705552,0.09358187107550897
-0.0475099777999129,-0.7894785836073849,-0.8817968823827389,-1.4937960921130413,0.8591603310054068,0.5644656277902367,0.024068347999748912,-0.18704714652859517,0.09190403124309723,0.025451155813118742,-0.18985134287705552,0.09358187107550897
-0.04724117533336494,-0.7814309400702831,-0.8843890756302164,-1.5017886931128857,0.8440810886081987,0.549451185936677,0.02390480527466276,-0.18672702812393466,0.091728117724509,0.025451155813118742,-0.18985134287705552,0.09358187107550897
-0.04706520989709772,-0.7759585153832943,-0.8861516232267457,-1.507223432385274,0.8338273974520289,0.5392430867148759,0.023788097572911122,-0.18649914106642343,0.0916044067150503,0.025451155813118742,-0.18985134287705552,0.09358187107550897
-0.04706520989709772,-0.7722372574165354,-0.8873500828062104,-1.51091891247974,0.8268550793017112,0.5323029032218156,0.023788097572911122,-0.18649914106642343,0.0916044067150503,0.025451155813118742,-0.18985134287705552,0.09358187107550897
-0.0469487126933004,-0.76970678052386,-0.8881649195128087,-1.5134317543917053,0.8221138649314541,0.5275843905179032,0.02370619602688929,-0.18633944576760086,0.09151844945817317,0.025451155813118742,-0.18985134287705552,0.09358187107550897
-0.0468709528312892,-0.7679860553877136,-0.8887189855139512,-1.5151404423120498,0.8188899188383968,0.524376378712555,0.023649328982891963,-0.18622866431878218,0.09145916358526397,0.025451155813118742,-0.18985134287705552,0.09358187107550897
-0.04681875457570829,-0.7444305360099743,-0.8843977977434223,-1.5237372554724136,0.7638106769021793,0.49512010148656876,0.023610119614378696,-0.18615231812488606,0.0914184739866982,0.025451155813118742,-0.18985134287705552,0.09358187107550897
