metric,joint_0,joint_1,joint_2,joint_3,joint_4,x,y,z,x_,y_,z_
0.0,-0.293301252651663,0.40374629997690376,0.6430980486579964,-0.5217971487052369,0.006623830201344275,-0.027539189652505076,0.009031232163078244,0.29876703660539905,0.06987617142780289,0.1045690310564624,0.20860756432808686
0.0019448877076310201,-0.2933012526821091,0.4037463000191266,0.6430980487255983,-0.5217971487599717,0.006623830202034666,-0.02753918965326914,0.009031232163027779,0.29876703660146736,0.06987617142780289,0.1045690310564624,0.20860756432808686
0.0019448877076471266,-0.2933012526904905,0.40374630003074696,0.6430980487442052,-0.5217971487750379,0.006623830202224923,-0.02753918965347919,0.009031232163013518,0.2987670366003852,0.06987617142780289,0.1045690310564624,0.20860756432808686
0.0019448877076471266,-0.29836630158212074,0.4068993857865936,0.6628884386086304,-0.5336191390701064,0.009746080420733966,-0.02753918965347919,0.009031232163013518,0.2987670366003852,0.06987617142780289,0.1045690310564624,0.20860756432808686
0.001962796982807477,-0.3018105371806179,0.40904350062187583,0.6763461692318228,-0.5416587410253796,0.011869424315856632,-0.026531926670765156,0.009993296180227419,0.2978298002223745,0.06987617142780289,0.1045690310564624,0.20860756432808686
0.001980199984570906,-0.3041526201609548,0.41050150315232886,0.685497502980437,-0.547125826477652,0.013313346255562087,-0.025357476306478794,0.011052029275258014,0.29672523876312273,0.06987617142780289,0.1045690310564624,0.20860756432808686
0.001980199984570906,-0.3057452375874874,0.4114929455823374,0.6917204317779343,-0.5508434696931035,0.014295224277744288,-0.025357476306478794,0.011052029275258014,0.29672523876312273,0.06987617142780289,0.1045690310564624,0.20860756432808686
0.0019844208647662983,-0.30682821783639636,0.4121671262962539,0.6959520290244751,-0.5533714624800226,0.014962903700265446,-0.025029866817370457,0.011335735983645125,0.29641499547581696,0.06987617142780289,0.1045690310564624,0.20860756432808686
0.001987151366139221,-0.30756464458380783,0.4126255689417674,0.6988295162951567,-0.555090489538407,0.015416926213629983,-0.024806034014920403,0.011526734466596007,0.29620251390709773,0.06987617142780289,0.1045690310564624,0.20860756432808686
0.001988943642050342,-0.3093246212982841,0.4137315179631477,0.7065908223356828,-0.5595419987267434,0.016677945272075126,-0.024653341394468686,0.011655720229862467,0.296057328955053,0.06987617142780289,0.1045690310564624,0.20860756432808686
0.0019935494496783296,-0.3105214038165034,0.414483562889654,0.7118685269299391,-0.5625690447430642,0.017535446903321105,-0.024232247686498065,0.012057767598255139,0.295664928436539,0.06987617142780289,0.1045690310564624,0.20860756432808686
0.0019964698159234727,-0.3121523844776979,0.41551091011383295,0.7192238847073253,-0.5667628594814129,0.018735088930302436,-0.023944343576549572,0.01232811587946358,0.29539565425349446,0.06987617142780289,0.1045690310564624,0.20860756432808686
0.0020002607920903796,-0.31326145041155495,0.41620950600501727,0.724225541780954,-0.5696146703550493,0.019550853083718584,-0.023539537279011237,0.012710012126675099,0.29501733924936957,0.06987617142780289,0.1045690310564624,0.20860756432808686
0.0020026504055121507,-0.31455162931441016,0.4170239220084128,0.7301019931447493,-0.5729605698990667,0.020509802218015915,-0.02326290079740432,0.012966926542138376,0.29475790251850664,0.06987617142780289,0.1045690310564624,0.20860756432808686
